Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8),Value (9),Value (10),Value (11),Value (12),Value (13),Value (14)
id,1,2,3,4,5,6,7,8,9,10,11,12,13,14
type,App\Models\User,App\Models\User,App\Models\User,App\Models\User,App\Models\User,App\Models\User,App\Models\User,App\Models\User,App\Models\User,App\Models\User,App\Models\User,App\Models\User,App\Models\User,App\Models\User
created_at,2023-05-13 14:18:14,2023-05-13 14:18:15,2023-05-13 14:18:15,2023-05-13 14:18:16,2023-05-13 14:18:16,2023-05-13 17:35:41,2023-05-13 17:37:04,2023-05-13 17:38:33,2023-05-13 17:39:48,2023-05-13 17:41:05,2023-05-13 17:42:34,2023-05-13 17:43:50,2023-05-13 17:45:01,2023-05-13 17:46:22
updated_at,2023-05-13 14:18:14,2023-05-13 14:18:15,2023-05-13 14:18:15,2023-05-13 14:18:16,2023-05-13 14:18:16,2023-05-13 17:35:41,2023-05-13 17:37:04,2023-05-13 17:38:33,2023-05-13 17:39:48,2023-05-13 17:41:05,2023-05-13 17:42:34,2023-05-13 17:43:50,2023-05-13 17:45:01,2023-05-13 17:46:22
